Artist,Name of Song,Language
Arijit Singh,Ishq Mubarak,Hindi
Salim–Sulaiman,Ishq Hua,Hindi
Vishal-Shekhar,Hey Shona,Hindi
Jeremy Soule,Harvest Dawn,Instrumental
Tai Verdes,AOK,English
Frou Frou,A New Kind Of Love - Demo,English
Jeremy Dutcher,Mehcinut,English
Jeremy Dutcher,Oqiton,English
SZA,Open Arms (feat. Travis Scott),English
RADWIMPS,Sparkle - movie ver.,Japanese
Burna Boy,For My Hand (feat. Ed Sheeran),English
melvitto,Stay (feat. Gabzy),English
SZA,Diamond Boy (DTM),English
Wegz,Amira,Arabic
Pharrell Williams,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],English
alt-J,Breezeblocks,English
Tame Impala,Borderline,English
Electric Guest,This Head I Hold,English
Bronski Beat,Smalltown Boy,English
Fleetwood Mac,Dreams - 2004 Remaster,English
Bill Withers,Lovely Day,English
White Town,Your Woman,English
Masego,Navajo,English
Claire Rosinkranz,Backyard Boy,English
Kobi Jonz,LOVE OR LAMBA,English
Gunna,on one tonight,English
Future,One Big Family,English
Young Dolph,1 Scale (feat. G Herbo),English
Wande Coal,Again,English
Jhené Aiko,Bed Peace,English
Llona,Cold War (with FAVE),English
FAVE,Baby Riddim,English
Bayanni,Ta Ta Ta,English
Omah Lay,soso,English
Victony,Soweto (with Don Toliver, Rema & Tempoe),English
Aaryan Shah,Renegade,English
Moneybagg Yo,Quickie,English
Nao,Drive and Disconnect,English
Metro Boomin,Around Me (feat. Don Toliver),English
Joji,Will He,English
Joy Again,Looking Out for You,English
Kai Cenat,Bustdown Rollie Avalanche,English
JBEE,Next Up - S4-E2, Pt. 1,English
Pozer,Kitchen Stove,English
Boy Boy,Adrenaline,English
Boy Boy,Bufu,English
Lil Macks,Oslo,English
Lavern,All I Want Is You,English
Eric Reprid,Cold World,English
Taaruk Raina,Narazi,Hindi
SZA,Nobody Gets Me,English
Jhené Aiko,The Worst,English
Devon Cole,Good Guy,English
Pink Sweat$,Honesty - Remix,English
Vory,Lesson Learned,English
Majid Jordan,Waiting For You (feat. Naomi Sharon),English
NxWorries,Where I Go (feat. H.E.R.),English
Charlotte Day Wilson,Forever,English
Thisizlondon,PINACOLADA REMIX (feat. Beéle, Ayra Starr, 6LACK),English
6LACK,Sorry,English
Naomi Sharon,Nothing Sweeter,English
BANKS,Someone New,English
Tems,Not An Angel,English
Victoria Bigelow,Age Of The Internet (Nudes),English
Justin Bieber,Lonely (with benny blanco) - Acoustic,English
Sons Of The East,Miramare,English
Dana Williams,You Win,English
Luke Chiang,Shouldn't Be,English
Lucky Daye,Buying Time,English
